part_no,catalog_description,product_group_code,product_sub_group_code,needs_tag_02,units_2026,value_2026_sar
WDV18CDWGKSA,,,,t,11314,17690560.08
MSTE24CRN2AG2KSA-NP-C,,,,f,0,11547614.87
MSTE18CRN3AG2KSA-NP-C,,,,f,0,9678954.55
WDV25CDWGKSA,,,,t,3810,7622740.10
MSTE24CRN2AG2KSA-NP-F,,,,t,8793,6221342.02
MSTL18CRN3AG2-NP-C,,,,f,0,5343000.41
MSTE18CRN3AG2KSA-NP-F,,,,t,9277,5210907.15
MSTS18CRN3AG15-NP-C,,,,f,0,4366777.32
MSTMX24CRN3AG1KSA-NP-C,,,,f,0,4321168.25
MSTE30CRN6AB4KSA-NP-C,,,,f,0,3174415.76
MSTL18CRN3AG2-NP-F,,,,t,5068,2875408.48
MSTMX18CRN3AG1KSA-NP-C,,,,f,0,2870741.77
MSTE18HRN3AG2KSA-NP-C,,,,f,0,2851729.38
MSTE18CRN3AG2-NP-C,,,,f,0,2712633.28
MSTS18CRN3AG15-NP-F,,,,t,4387,2350889.61
MSTMX24CRN3AG1KSA-NP-F,,,,t,3204,2327371.93
WDV25CDWG,,,,t,1156,2139864.35
MSTE24HRN3AG2KSA-NP-C,,,,f,0,2042789.57
WDV18CDWG,,,,t,1364,2027079.22
WDV18EDWGKSA,,,,t,1056,1803602.43
MSTE30CRN6AB4KSA-NP-F,,,,t,1729,1712587.72
MSTE18HRN3AG2-NP-C,,,,f,0,1652812.85
MSTL18HRN3AG2-NP-C,,,,f,0,1569470.95
MSTS30CRN1AG15-NP-C,,,,f,0,1553348.68
MSTMX18CRN3AG1KSA-NP-F,,,,t,2563,1547179.84
WDV18EDWG,,,,t,955,1540956.93
MSTE18HRN3AG2KSA-NP-F,,,,t,2577,1536380.68
MCCTV48HRD-NP-C,,,,f,0,1530951.51
MSTE12CRN1AG2KSA-NP-C,,,,f,0,1528510.08
WDV24HWGKSA,,,,t,908,1484656.18
MSTE18CRN3AG2-NP-F,,,,t,2690,1458334.51
MSTA30CRN1AB8-NP-C,,,,f,0,1452087.56
MSTE30CRN6AB4-NP-C,,,,f,0,1359259.77
MSTA18CRN1AB8-NP-C,,,,f,0,1311839.85
MSTMX18HRN3AG1-NP-C,,,,f,0,1217703.68
MCCTV36HRD-NP-C,,,,f,0,1127097.99
MSTE24HRN3AG2KSA-NP-F,,,,t,1487,1100936.99
MCCTV24HRD-NP-C,,,,f,0,1078310.67
MSTL36CRN3MBKSA-NP-C,,,,f,0,1029753.15
MSTE30HRN5AB4KSA-NP-C,,,,f,0,1007120.24
MSTE18CRN2AG2KSA-NP-C,,,,f,0,995144.94
MSTE18HRN3AG2-NP-F,,,,t,1528,890487.27
SAPV18CDEFKSA-NP-C,,,,f,0,855978.97
MSTL18HRN3AG2-NP-F,,,,t,1385,845391.26
MSTS30CRN1AG15-NP-F,,,,t,868,836418.52
MCCTV48HRD-NP-F,,,,t,379,824502.32
MSTE12CRN1AG2KSA-NP-F,,,,t,1848,822501.46
MSTE30CRN5AB4-NP-C,,,,f,0,808573.35
MSTA30CRN1AB8-NP-F,,,,t,803,781851.30
MSTE12HRN1AG2KSA-NP-C,,,,f,0,754037.26
MSTE30CRN6AB4-NP-F,,,,t,768,731974.01
MSTA18CRN1AB8-NP-F,,,,t,1259,706143.93
SAPV24CDEFKSA-NP-C,,,,f,0,694738.61
MSTL30CRN6AB4-NP-C,,,,f,0,678257.72
MSTMX18HRN3AG1-NP-F,,,,t,1084,663366.26
MCCTV36HRD-NP-F,,,,t,362,635661.49
MSTS18HRN2AG15-NP-C,,,,f,0,629985.50
MSTMX24HRN3AG1KSA-NP-C,,,,f,0,623977.52
MCCTV24HRD-NP-F,,,,t,467,614078.73
MSTMX30CRN1AG1KSA-NP-C,,,,f,0,596855.19
SAPV18CDEZ1KSA-NP-C,,,,f,0,554549.20
MSTL36CRN3MBKSA-NP-F,,,,t,467,551583.42
MSTE30HRN5AB4KSA-NP-F,,,,t,491,542341.03
MSTE18CRN2AG2KSA-NP-F,,,,t,983,535524.13
MSTS24HRN3AG15-NP-C,,,,f,0,533644.39
SAPV24HDEFKSA-NP-C,,,,f,0,475277.48
SAPV18CDEFKSA-NP-F,,,,t,725,461071.37
MSTE30CRN5AB4-NP-F,,,,t,465,435059.44
MSTMX24HRN3AG1-NP-C,,,,f,0,427753.49
MSTE12HRN1AG2KSA-NP-F,,,,t,872,408159.72
MSTN18CRN1AG16-NP-C,,,,f,0,396196.00
MSTA18CRN2AB8-NP-C,,,,f,0,394686.00
SAPV24CDEZ1KSA-NP-C,,,,f,0,390576.89
SAPV24CDEFKSA-NP-F,,,,t,476,374168.97
MSTN24CRN1AG16-NP-C,,,,f,0,371595.66
MSTL30CRN6AB4-NP-F,,,,t,361,365217.39
SAPV18HDEFKSA-NP-C,,,,f,0,353654.86
MSTS18HRN2AG15-NP-F,,,,t,594,339336.56
MSTMX24HRN3AG1KSA-NP-F,,,,t,430,336106.22
MSTMX30CRN1AG1KSA-NP-F,,,,t,324,321428.93
SAPV18HDEZ1KSA-NP-C,,,,f,0,316345.96
SAPV30HDAG1KSA-NP-C,,,,f,0,315031.97
SAPV24CDEZ2BKSA-NP-C,,,,f,0,311488.53
SAPV18CDEZ1KSA-NP-F,,,,t,461,298693.65
MSTS24HRN3AG15-NP-F,,,,t,407,287467.41
SAPV24HDEZ1KSA-NP-C,,,,f,0,275320.11
MKH1-V700-R4-L,,,,t,287,274300.89
SAPV24HDEFKSA-NP-F,,,,t,311,255509.60
MKH1-V700-R4-R,,,,t,286,246301.20
SAPV18CDEZ2BKSA-NP-C,,,,f,0,244694.01
MSTMX24HRN3AG1-NP-F,,,,t,310,230340.18
MSTL24CRN3AG2-NP-C,,,,f,0,220075.20
MSTN18CRN1AG16-NP-F,,,,t,349,213397.82
MSTA18CRN2AB8-NP-F,,,,t,360,212522.40
SAPV24CDEZ1KSA-NP-F,,,,t,264,210362.73
MCCTV18HRD-NP-C,,,,f,0,202956.34
MSTN24CRN1AG16-NP-F,,,,t,262,200224.73
SAPV18HDEFKSA-NP-F,,,,t,286,190633.01
MSTMX30HRN2AG1-NP-C,,,,f,0,187625.99
SAPV18HDEZ2BKSA-NP-C,,,,f,0,181157.80
MSTA12CRN1AG14-NP-C,,,,f,0,175850.00
SAPV18HDEZ1KSA-NP-F,,,,t,244,170355.40
SAPV30HDAG1KSA-NP-F,,,,t,155,169804.96
SAPV24CDEZ2BKSA-NP-F,,,,t,197,167763.80
MSTE24HRN3AG2-NP-C,,,,f,0,156541.98
MKH1-V800-R4-R,,,,t,153,149736.51
SAPV24HDEZ1KSA-NP-F,,,,t,176,148259.91
FAHU-RF-01,,,,f,0,147731.00
MKH1-V800-R4-L,,,,t,155,139875.94
SAPV24HDEZ2BKSA-NP-C,,,,f,0,139049.21
SAPV18CDEZ2BKSA-NP-F,,,,t,193,131796.67
SAPV18CDEZ2KSA-NP-C,,,,f,0,130087.62
MCCTV18HRD-NP-F,,,,t,105,121048.03
MSTL24CRN3AG2-NP-F,,,,t,155,118398.30
MSTMX30HRN2AG1-NP-F,,,,t,96,101031.28
SAPV24CDEZ2KSA-NP-C,,,,f,0,100506.35
SAPV18HDEZ2BKSA-NP-F,,,,t,137,99870.94
MSTA12CRN1AG14-NP-F,,,,t,200,94688.00
FAHU-1_WET,,,,f,0,93470.00
AHU-01-A,,,,f,0,88972.86
MSTE24HRN3AG2-NP-F,,,,t,119,84331.92
MI2-40DLDHN18(AT),,,,f,0,79568.30
SAPV24HDEZ2BKSA-NP-F,,,,t,84,74889.22
MI2-24DLDHN18(AT),,,,f,0,74770.85
KJRP-75A,,,,f,0,73551.84
SAPV18HDEZ2KSA-NP-C,,,,f,0,73193.39
SAPV18CDEZ2KSA-NP-F,,,,t,115,70075.07
SAPV24CDEZ2KSA-NP-F,,,,t,71,54159.53
VALVE MKH1-V700-R4 LEFT,,,,f,0,48870.36
VALVE MKH1-V700-R4 RIGHT,,,,f,0,48700.08
SAPV24HDEZ2KSA-NP-C,,,,f,0,44967.36
