period,part,category,tagged,lines,counted_qty,ungated_qty
202510,AHUKZ-02F,ACACC,f,1,0,1
202510,AHUKZ-03F,ACACC,f,1,0,1
202510,EHK-7.5A-5T,ACACC,f,4,0,2
202510,FAHU-02,ACVRF,t,1,1,1
202510,FQZHD-02,ACACC,f,1,0,1
202510,FQZHN-01D,ACACC,f,5,0,31
202510,FQZHN-02D,ACACC,f,12,0,120
202510,FQZHN-03D,ACACC,f,8,0,200
202510,FQZHN-04D,ACACC,f,6,0,47
202510,FQZHN-05D,ACACC,f,3,0,20
202510,FQZHW-02N1E,ACACC,f,2,0,14
202510,FQZHW-03N1E,ACACC,f,2,0,10
202510,MCCT18HRN-C,ACCST,f,1,0,2
202510,MCCT24HRN-C,ACCST,f,1,0,3
202510,MCCT36HRN6-C,ACCST,f,1,0,1
202510,MCCT48CRN2-C,ACCST,f,1,0,1
202510,MCCT48CRN-C,ACCST,f,1,0,1
202510,MCCTV18HRN2-NP-C,ACCST,f,1,0,1
202510,MCCTV18HRN3-NP-C,ACCST,f,7,0,10
202510,MCCTV18HRN3-NP-F,ACCST,t,3,4,4
202510,MCCTV24HRN4-NP-C,ACCST,f,22,0,56
202510,MCCTV24HRN4-NP-F,ACCST,t,18,56,56
202510,MCCTV30HRN2-NP-C,ACCST,f,14,0,51
202510,MCCTV30HRN2-NP-F,ACCST,t,16,54,54
202510,MCCTV36HRN3-NP-C,ACCST,f,7,0,30
202510,MCCTV36HRN3-NP-F,ACCST,t,7,30,30
202510,MDV-D18DL/VN1-C(AT),ACVRF,f,2,0,0
202510,MDV-D24T3/VN1-DA5(2),ACCON,t,5,28,28
202510,MDV-D28T2/VN1-DA5(2),ACCON,t,17,119,119
202510,MDV-D36Q4/VN1-E(2),ACCST,t,5,30,30
202510,MDV-D36Q4/VN1-E(AT),ACCST,t,10,14,14
202510,MDV-D40T2/VN1-DA5(AT),ACCON,t,3,25,25
202510,MDV-D42T2/VN1-DA5(2),ACCON,t,75,358,358
202510,MDV-D48T2/VN1-DA5(2),ACCON,t,21,42,42
202510,MDV-D56Q4/HN1-E(2),ACCST,t,7,27,27
202510,MDV-D56Q4/HN1-E(AT),ACCST,t,1,1,1
202510,MDV-D56Q4/VN1-E(AT),ACCST,t,10,37,37
